Path	P1	P2	P3	P4	P5	P6	P7	lat	lat_sync	lat_syncref	lat_async
S2	1	4	2	5	7	3	6	0	120	120	120
S1	1	4	2	5	7	6	3	0	80	80	80
S2	1	4	2	5	7	6	3	0	120	120	120
S1	1	4	2	6	3	5	7	0	80	80	80
S2	1	4	2	6	3	5	7	0	120	120	120
S1	1	4	2	6	3	7	5	0	80	80	80
S2	1	4	2	6	3	7	5	0	120	120	120
S1	1	4	2	6	5	3	7	0	80	80	80
S2	1	4	2	6	5	3	7	0	120	120	120
S1	1	4	2	6	5	7	3	0	80	80	80
S2	1	4	2	6	5	7	3	0	120	120	120
S1	1	4	2	6	7	3	5	0	80	80	80
S2	1	4	2	6	7	3	5	0	120	120	120
S1	1	4	2	6	7	5	3	0	80	80	80
S2	1	4	2	6	7	5	3	0	120	120	120
S1	1	4	2	7	3	5	6	0	80	80	80
S2	1	4	2	7	3	5	6	0	120	120	120
S1	1	4	2	7	3	6	5	0	80	80	80
S2	1	4	2	7	3	6	5	0	120	120	120
S1	1	4	2	7	5	3	6	0	80	80	80
S2	1	4	2	7	5	3	6	0	120	120	120
S1	1	4	2	7	5	6	3	0	80	80	80
S2	1	4	2	7	5	6	3	0	120	120	120
S1	1	4	2	7	6	3	5	0	80	80	80
S2	1	4	2	7	6	3	5	0	120	120	120
S1	1	4	2	7	6	5	3	0	80	80	80
S2	1	4	2	7	6	5	3	0	120	120	120
S1	1	4	3	2	5	6	7	0	90	80	90
S2	1	4	3	2	5	6	7	0	120	120	120
S1	1	4	3	2	5	7	6	0	90	80	90
S2	1	4	3	2	5	7	6	0	120	120	120
S1	1	4	3	2	6	5	7	0	90	80	90
S2	1	4	3	2	6	5	7	0	120	120	120
S1	1	4	3	2	6	7	5	0	90	80	90
S2	1	4	3	2	6	7	5	0	120	120	120
S1	1	4	3	2	7	5	6	0	90	80	90
S2	1	4	3	2	7	5	6	0	120	120	120
S1	1	4	3	2	7	6	5	0	90	80	90
S2	1	4	3	2	7	6	5	0	120	120	120
S1	1	4	3	5	2	6	7	0	80	80	80
S2	1	4	3	5	2	6	7	0	120	120	120
S1	1	4	3	5	2	7	6	0	80	80	80
S2	1	4	3	5	2	7	6	0	120	120	120
S1	1	4	3	5	6	2	7	0	80	80	80
S2	1	4	3	5	6	2	7	0	120	120	120
S1	1	4	3	5	6	7	2	0	80	80	80
