Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	ASYNC
t13	1	6	5	2	3	4	0	75	75
t23	1	6	5	2	4	3	0	47	47
t13	1	6	5	2	4	3	0	75	75
t23	1	6	5	3	2	4	0	47	47
t13	1	6	5	3	2	4	0	75	75
t23	1	6	5	3	4	2	0	47	47
t13	1	6	5	3	4	2	0	75	75
t23	1	6	5	4	2	3	0	47	47
t13	1	6	5	4	2	3	0	75	75
t23	1	6	5	4	3	2	0	47	47
t13	1	6	5	4	3	2	0	75	75
t23	2	1	3	4	5	6	685	173	173
t13	2	1	3	4	5	6	48	28	28
t23	2	1	3	4	6	5	713	173	173
t13	2	1	3	4	6	5	48	28	28
t23	2	1	3	5	4	6	2564	173	173
t13	2	1	3	5	4	6	48	28	28
t23	2	1	3	5	6	4	1790	173	173
t13	2	1	3	5	6	4	48	28	28
t23	2	1	3	6	4	5	0	173	173
t13	2	1	3	6	4	5	0	28	28
t23	2	1	3	6	5	4	0	173	173
t13	2	1	3	6	5	4	0	28	28
t23	2	1	4	3	5	6	552	173	173
t13	2	1	4	3	5	6	63	31	31
t23	2	1	4	3	6	5	562	173	173
t13	2	1	4	3	6	5	63	31	31
t23	2	1	4	5	3	6	2327	173	173
t13	2	1	4	5	3	6	282	28	49
t23	2	1	4	5	6	3	1606	173	173
t13	2	1	4	5	6	3	226	28	34
t23	2	1	4	6	3	5	0	173	173
t13	2	1	4	6	3	5	0	28	49
t23	2	1	4	6	5	3	0	173	173
t13	2	1	4	6	5	3	0	28	34
t23	2	1	5	3	4	6	405	173	173
t13	2	1	5	3	4	6	89	53	53
t23	2	1	5	3	6	4	433	173	173
t13	2	1	5	3	6	4	127	48	48
t23	2	1	5	4	3	6	458	173	173
t13	2	1	5	4	3	6	105	53	53
t23	2	1	5	4	6	3	600	173	173
t13	2	1	5	4	6	3	144	48	48
t23	2	1	5	6	3	4	0	173	173
t13	2	1	5	6	3	4	0	28	55
t23	2	1	5	6	4	3	0	173	173
t13	2	1	5	6	4	3	0	28	55
t23	2	1	6	3	4	5	134	53	53
t13	2	1	6	3	4	5	147	75	75
t23	2	1	6	3	5	4	148	53	53
t13	2	1	6	3	5	4	147	75	75
t23	2	1	6	4	3	5	173	53	53
t13	2	1	6	4	3	5	148	75	75
t23	2	1	6	4	5	3	167	53	53
t13	2	1	6	4	5	3	149	75	75
t23	2	1	6	5	3	4	305	53	53
t13	2	1	6	5	3	4	206	75	75
