Path	ctx-a	ctx-b	ctx-u	ctx-v	ctx-y	ctx-z	ctx-p	Uniform
t17	1	2	7	5	3	6	4	150
t25	1	2	7	5	4	3	6	400
t39	1	2	7	5	4	3	6	190
t17	1	2	7	5	4	3	6	190
t25	1	2	7	5	4	6	3	290
t39	1	2	7	5	4	6	3	190
t17	1	2	7	5	4	6	3	80
t25	1	2	7	5	6	3	4	310
t39	1	2	7	5	6	3	4	190
t17	1	2	7	5	6	3	4	100
t25	1	2	7	5	6	4	3	290
t39	1	2	7	5	6	4	3	190
t17	1	2	7	5	6	4	3	80
t25	1	2	7	6	3	4	5	380
t39	1	2	7	6	3	4	5	170
t17	1	2	7	6	3	4	5	170
t25	1	2	7	6	3	5	4	360
t39	1	2	7	6	3	5	4	170
t17	1	2	7	6	3	5	4	150
t25	1	2	7	6	4	3	5	380
t39	1	2	7	6	4	3	5	170
t17	1	2	7	6	4	3	5	170
t25	1	2	7	6	4	5	3	290
t39	1	2	7	6	4	5	3	170
t17	1	2	7	6	4	5	3	80
t25	1	2	7	6	5	3	4	310
t39	1	2	7	6	5	3	4	170
t17	1	2	7	6	5	3	4	100
t25	1	2	7	6	5	4	3	290
t39	1	2	7	6	5	4	3	170
t17	1	2	7	6	5	4	3	80
t25	1	3	2	4	5	6	7	420
t39	1	3	2	4	5	6	7	210
t17	1	3	2	4	5	6	7	210
t25	1	3	2	4	5	7	6	400
t39	1	3	2	4	5	7	6	210
t17	1	3	2	4	5	7	6	200
t25	1	3	2	4	6	5	7	420
t39	1	3	2	4	6	5	7	210
t17	1	3	2	4	6	5	7	210
t25	1	3	2	4	6	7	5	260
t39	1	3	2	4	6	7	5	210
t17	1	3	2	4	6	7	5	130
t25	1	3	2	4	7	5	6	300
t39	1	3	2	4	7	5	6	210
t17	1	3	2	4	7	5	6	150
t25	1	3	2	4	7	6	5	260
t39	1	3	2	4	7	6	5	210
t17	1	3	2	4	7	6	5	130
t25	1	3	2	5	4	6	7	420
t39	1	3	2	5	4	6	7	210
t17	1	3	2	5	4	6	7	210
t25	1	3	2	5	4	7	6	400
t39	1	3	2	5	4	7	6	210
t17	1	3	2	5	4	7	6	200
t25	1	3	2	5	6	4	7	420
t39	1	3	2	5	6	4	7	210
t17	1	3	2	5	6	4	7	210
t25	1	3	2	5	6	7	4	220
t39	1	3	2	5	6	7	4	210
t17	1	3	2	5	6	7	4	90
t25	1	3	2	5	7	4	6	300
t39	1	3	2	5	7	4	6	210
t17	1	3	2	5	7	4	6	150
t25	1	3	2	5	7	6	4	220
t39	1	3	2	5	7	6	4	210
t17	1	3	2	5	7	6	4	90
t25	1	3	2	6	4	5	7	420
t39	1	3	2	6	4	5	7	210
t17	1	3	2	6	4	5	7	210
t25	1	3	2	6	4	7	5	360
t39	1	3	2	6	4	7	5	210
t17	1	3	2	6	4	7	5	160
t25	1	3	2	6	5	4	7	420
t39	1	3	2	6	5	4	7	210
t17	1	3	2	6	5	4	7	210
t25	1	3	2	6	5	7	4	290
t39	1	3	2	6	5	7	4	210
t17	1	3	2	6	5	7	4	90
t25	1	3	2	6	7	4	5	260
t39	1	3	2	6	7	4	5	210
t17	1	3	2	6	7	4	5	110
t25	1	3	2	6	7	5	4	240
t39	1	3	2	6	7	5	4	210
t17	1	3	2	6	7	5	4	90
t25	1	3	2	7	4	5	6	390
t39	1	3	2	7	4	5	6	180
t17	1	3	2	7	4	5	6	180
t25	1	3	2	7	4	6	5	370
t39	1	3	2	7	4	6	5	180
t17	1	3	2	7	4	6	5	160
t25	1	3	2	7	5	4	6	390
t39	1	3	2	7	5	4	6	180
t17	1	3	2	7	5	4	6	180
t25	1	3	2	7	5	6	4	300
t39	1	3	2	7	5	6	4	180
t17	1	3	2	7	5	6	4	90
