Branching	Index	Inherit	Length	Load	Nesting	Number	Sharing	filename	Path	Mixed
1	185	True	13	90	0	2	1	model-185.graphml	T25	870
1	186	True	13	90	0	2	1	model-186.graphml	T12	3484
1	187	True	13	90	0	2	1	model-187.graphml	T12	6468
1	188	True	13	90	0	2	1	model-188.graphml	T25	4620
1	189	True	13	90	0	2	1	model-189.graphml	T25	5034
1	190	True	13	90	0	2	1	model-190.graphml	T12	3530
1	191	True	13	95	0	2	1	model-191.graphml	T25	13217
1	192	True	13	95	0	2	1	model-192.graphml	T12	3678
1	193	True	13	95	0	2	1	model-193.graphml	T12	7469
1	194	True	13	95	0	2	1	model-194.graphml	T12	11344
1	195	True	13	95	0	2	1	model-195.graphml	T12	3727
1	196	True	13	95	0	2	1	model-196.graphml	T25	13217
1	197	True	13	95	0	2	1	model-197.graphml	T25	8861
1	198	True	13	95	0	2	1	model-198.graphml	T25	4639
1	199	True	13	95	0	2	1	model-199.graphml	T12	3678
1	200	True	13	95	0	2	1	model-200.graphml	T12	3727
1	201	True	13	98	0	2	1	model-201.graphml	T25	948
1	202	True	13	98	0	2	1	model-202.graphml	T25	2134
1	203	True	13	98	0	2	1	model-203.graphml	T12	14385
1	204	True	13	98	0	2	1	model-204.graphml	T12	8523
1	205	True	13	98	0	2	1	model-205.graphml	T25	6363
1	206	True	13	98	0	2	1	model-206.graphml	T25	948
1	207	True	13	98	0	2	1	model-207.graphml	T12	9153
1	208	True	13	98	0	2	1	model-208.graphml	T25	14281
1	209	True	13	98	0	2	1	model-209.graphml	T25	13188
1	210	True	13	98	0	2	1	model-210.graphml	T12	12807
2	211	True	13	50	0	2	1	model-211.graphml	T17	1095
2	212	True	13	50	0	2	1	model-212.graphml	T17	1403
2	213	True	13	50	0	2	1	model-213.graphml	T17	1095
2	214	True	13	50	0	2	1	model-214.graphml	T12	1403
2	215	True	13	50	0	2	1	model-215.graphml	T17	1403
2	216	True	13	50	0	2	1	model-216.graphml	T17	1403
2	217	True	13	50	0	2	1	model-217.graphml	T17	1403
2	218	True	13	50	0	2	1	model-218.graphml	T17	1403
2	219	True	13	50	0	2	1	model-219.graphml	T17	1095
2	220	True	13	50	0	2	1	model-220.graphml	T17	1095
2	221	True	13	60	0	2	1	model-221.graphml	T17	1684
2	222	True	13	60	0	2	1	model-222.graphml	T17	1684
2	223	True	13	60	0	2	1	model-223.graphml	T17	1684
2	224	True	13	60	0	2	1	model-224.graphml	T12	1684
2	225	True	13	60	0	2	1	model-225.graphml	T12	1312
2	226	True	13	60	0	2	1	model-226.graphml	T17	1684
2	227	True	13	60	0	2	1	model-227.graphml	T12	1684
2	228	True	13	60	0	2	1	model-228.graphml	T12	1684
2	229	True	13	60	0	2	1	model-229.graphml	T12	1684
2	230	True	13	60	0	2	1	model-230.graphml	T17	1684
2	231	True	13	70	0	2	1	model-231.graphml	T12	1528
2	232	True	13	70	0	2	1	model-232.graphml	T17	1964
2	233	True	13	70	0	2	1	model-233.graphml	T12	1964
2	234	True	13	70	0	2	1	model-234.graphml	T12	1964
2	235	True	13	70	0	2	1	model-235.graphml	T17	1964
2	236	True	13	70	0	2	1	model-236.graphml	T17	1964
2	237	True	13	70	0	2	1	model-237.graphml	T12	1964
2	238	True	13	70	0	2	1	model-238.graphml	T17	1964
2	239	True	13	70	0	2	1	model-239.graphml	T12	1528
2	240	True	13	70	0	2	1	model-240.graphml	T17	1964
2	241	True	13	80	0	2	1	model-241.graphml	T17	1873
